Model,RMSE,MAE,R2
Linear Regression,91.0690926614805,52.54935318567611,0.17122972497910183
Ridge,91.06812252471289,52.54584262058519,0.17124738225907865
Lasso,91.0556283962843,52.432502534582255,0.1714747687705548
Random Forest,65.89614281063409,30.781162908538132,0.5660775347697277
Gradient Boosting,83.21453212201403,45.2818508135575,0.3080248504588571
